gene28	GO:0005789 GO:0005515 GO:0016254 GO:0051267
gene29	GO:0007422 GO:0007629 GO:0030537
gene30	GO:0005488 GO:0005912 GO:0007612 GO:0005813 GO:0001763 GO:0048167 GO:0007155
gene31	GO:0007018 GO:0043234 GO:0005525 GO:0051258 GO:0005198 GO:0003924 GO:0005874
gene32	GO:0006357 GO:0007435 GO:0009953 GO:0035293 GO:0003700 GO:0042803 GO:0005634 GO:0003702
gene33	GO:0007165
gene34	GO:0005488 GO:0003824
gene35	GO:0046872 GO:0005743 GO:0005759 GO:0004419 GO:0008152
gene36	GO:0005534 GO:0005624 GO:0005794 GO:0016310 GO:0005515 GO:0019402 GO:0005524 GO:0006012 GO:0004335 GO:0005829
gene37	GO:0003704 GO:0006342 GO:0005515 GO:0005634
gene38	GO:0044464 GO:0005488
gene39	GO:0008360 GO:0006468 GO:0005524 GO:0012501 GO:0004710
gene40	GO:0042552 GO:0005764 GO:0004563 GO:0050885 GO:0001501 GO:0019953 GO:0019915 GO:0030203 GO:0006689 GO:0046982 GO:0050884 GO:0007605 GO:0007628 GO:0007040 GO:0016020
gene41	GO:0046872
gene42	GO:0004030 GO:0006081 GO:0005811
gene43	GO:0006114 GO:0006107 GO:0005829 GO:0005764 GO:0006533 GO:0019551 GO:0006532 GO:0004609 GO:0032869 GO:0004069 GO:0005625 GO:0055089 GO:0019550 GO:0051384 GO:0031406 GO:0043679
gene44	GO:0005488 GO:0016787 GO:0009987
gene45	GO:0016874 GO:0008641 GO:0006464 GO:0006511 GO:0005524
gene46	GO:0005747
gene47	GO:0003723 GO:0004386 GO:0000166
gene48	GO:0005488 GO:0044238 GO:0004674 GO:0008360 GO:0034960 GO:0007155
gene49	GO:0008233 GO:0044464
gene50	GO:0032314 GO:0032095 GO:0016020 GO:0008144 GO:0018107 GO:0031529 GO:0032868 GO:0043610 GO:0045859 GO:0046777 GO:0051219 GO:0031932 GO:0051496 GO:0031998 GO:0016242 GO:0005942 GO:0004674 GO:0005979 GO:0045792 GO:0050731 GO:0043200 GO:0007281 GO:0030163 GO:0010592 GO:0016049 GO:0030838 GO:0005625 GO:0031931 GO:0007584
gene51	GO:0003676 GO:0005524 GO:0004004 GO:0042254
gene52	GO:0007059 GO:0004175 GO:0008540 GO:0006511
gene53	GO:0008299 GO:0004421 GO:0016126
gene54	GO:0005737 GO:0008080 GO:0031248 GO:0008280 GO:0008152 GO:0007064
gene55	GO:0008380 GO:0005681 GO:0003723 GO:0042254 GO:0006397
gene56	GO:0009987 GO:0050789 GO:0019538
gene57	GO:0044464
gene58	GO:0015078 GO:0005516 GO:0015986 GO:0045202 GO:0000220 GO:0016787
gene59	GO:0006885
gene60	GO:0005576 GO:0006508 GO:0004252
gene61	GO:0007186 GO:0016021 GO:0004965 GO:0005886 GO:0004930
gene62	GO:0008152 GO:0005488
gene63	GO:0016627 GO:0008152
